id,name,type,latitude,longitude,address,phone,trauma_beds,icu_beds,has_pediatric_team,has_trauma_surgery,has_ct_scan,rating,created_at
hosp-001,Apollo Hospitals Jubilee Hills,Pediatric & Multi-Specialty Trauma Center,17.4241,78.4082,"Road No 72, Film Nagar, Jubilee Hills, Hyderabad, Telangana 500033",+91-40-23607777,18,70,True,True,True,4.8,"2025-01-01T00:00:00.000Z"
hosp-002,Niloufer Hospital (Institute of Child Health),Government Pediatric Trauma Center,17.4048,78.4656,"11-4-721, Niloufer Hospital Rd, Red Hills, Lakdikapul, Hyderabad, Telangana 500004",+91-40-23396552,30,40,True,True,True,4.2,"2025-01-01T00:00:00.000Z"
hosp-003,Rainbow Children's Hospital Banjara Hills,Pediatric Specialty Hospital,17.4185,78.4382,"Road No 2, Near Hotel Park Hyatt, Sri Nagar Colony, Banjara Hills, Hyderabad, Telangana 500034",+91-40-61626343,12,35,True,True,True,4.7,"2025-01-01T00:00:00.000Z"
hosp-004,KIMS Hospitals Secunderabad,Level I Trauma Center,17.4441,78.4986,"1-8-31/1, Minister Road, Secunderabad, Hyderabad, Telangana 500003",+91-40-44885000,22,50,True,True,True,4.6,"2025-01-01T00:00:00.000Z"
hosp-005,Yashoda Hospitals Somajiguda,Multi-Specialty Trauma Center,17.4289,78.4553,"Raj Bhavan Rd, Somajiguda, Hyderabad, Telangana 500082",+91-40-45671011,16,45,True,True,True,4.5,"2025-01-01T00:00:00.000Z"
hosp-006,CARE Hospitals Banjara Hills,General & Trauma Hospital,17.4198,78.4477,"Road No 1, Banjara Hills, Hyderabad, Telangana 500034",+91-40-30418000,14,30,True,True,True,4.4,"2025-01-01T00:00:00.000Z"
hosp-007,Osmania General Hospital,Government Trauma Center,17.3837,78.4734,"Afzal Gunj, Hyderabad, Telangana 500012",+91-40-24600121,35,60,False,True,True,3.9,"2025-01-01T00:00:00.000Z"
hosp-008,Sunshine Hospitals KIMS Penderghast,Orthopedic & Trauma Specialty,17.4396,78.4612,"1-7-201/205, Penderghast Road, Near Paradise Circle, Secunderabad, Hyderabad, Telangana 500003",+91-40-44557777,10,20,True,True,True,4.5,"2025-01-01T00:00:00.000Z"
hosp-009,Nizam's Institute of Medical Sciences (NIMS),Quaternary Care Government Hospital,17.4214,78.4628,"Punjagutta, Hyderabad, Telangana 500082",+91-40-23489000,25,55,True,True,True,4.3,"2025-01-01T00:00:00.000Z"
hosp-010,Continental Hospitals Gachibowli,Multi-Specialty Trauma Center,17.4126,78.3601,"Plot No 3, Road No 2, IT & Financial District, Nanakramguda, Gachibowli, Hyderabad, Telangana 500032",+91-40-67000111,15,40,True,True,True,4.6,"2025-01-01T00:00:00.000Z"
hosp-011,Medicover Hospitals HITEC City,Multi-Specialty Hospital,17.4477,78.3742,"H. No. 5-9-22, Sarojini Devi Rd, HITEC City, Hyderabad, Telangana 500081",+91-40-68101000,8,18,True,True,True,4.4,"2025-01-01T00:00:00.000Z"
hosp-012,Gleneagles Hospital LB Nagar,General Hospital & Trauma,17.3451,78.5510,"Sanath Nagar, LB Nagar, Hyderabad, Telangana 500074",+91-40-67090100,10,22,True,True,True,4.3,"2025-01-01T00:00:00.000Z"
hosp-013,AIG Hospitals Gachibowli,Specialty Hospital,17.4196,78.3628,"Survey No 136, Plot No 2, Mindspace Rd, Gachibowli, Hyderabad, Telangana 500032",+91-40-42444444,6,15,False,False,True,4.4,"2025-01-01T00:00:00.000Z"
hosp-014,Virinchi Hospital Banjara Hills,Multi-Specialty Hospital,17.4225,78.4488,"7-1-357/7-1-358, Dharam Karam Rd, Ameerpet, Hyderabad, Telangana 500016",+91-40-71272727,8,20,True,True,True,4.2,"2025-01-01T00:00:00.000Z"
hosp-015,Gandhi Medical College & Hospital,Government Teaching Hospital,17.4478,78.4731,"Gandhi Medical College Rd, Secunderabad, Hyderabad, Telangana 500003",+91-40-27505566,28,48,True,True,True,3.8,"2025-01-01T00:00:00.000Z"
