id,incident_id,event_type,title,description,metadata,timestamp
evt-001-01,inc-001,device_impact_detected,High Impact Detected,"Accelerometer reading of 21.3g detected on Ananya's device near Tank Bund Road","{""impact_magnitude"": 21.3, ""threshold"": 15.0}","2026-05-31T07:40:00.000Z"
evt-001-02,inc-001,incident_created,Incident Created,Critical road accident incident auto-created by RoadSoS system,"{""auto_created"": true, ""trigger"": ""impact_threshold""}","2026-05-31T07:40:05.000Z"
evt-001-03,inc-001,child_confirmed,Child Confirmed Emergency,Ananya Sharma pressed YES to confirm emergency,"{""response_time_sec"": 28}","2026-05-31T07:40:33.000Z"
evt-001-04,inc-001,parent_notified,Parent Notified,SMS and app push notification sent to Rajesh Sharma,"{""channel"": ""sms+push""}","2026-05-31T07:40:38.000Z"
evt-001-05,inc-001,ambulance_dispatched,Ambulance Dispatched,"AMB-108-02 dispatched from Koti station, ETA 6 min","{""ambulance_id"": ""amb-002"", ""station"": ""Koti"", ""eta_min"": 6}","2026-05-31T07:41:00.000Z"
evt-001-06,inc-001,hospital_alerted,Hospital Alerted,Apollo Hospitals Jubilee Hills pediatric trauma team put on standby,"{""hospital_id"": ""hosp-001""}","2026-05-31T07:41:10.000Z"
evt-001-07,inc-001,ambulance_arrived,Ambulance On Scene,AMB-108-02 arrived at incident location near Tank Bund,"{""response_time_min"": 8.5}","2026-05-31T07:48:30.000Z"
evt-001-08,inc-001,status_en_route,Child Being Transported,Ambulance transporting Ananya to Apollo Hospitals Jubilee Hills,"{""destination"": ""hosp-001""}","2026-05-31T07:50:00.000Z"
evt-001-09,inc-001,vitals_critical,Vitals Critical,Heart rate 122 bpm – tachycardia. Team notified.,"{""hr"": 122, ""temp"": 37.6}","2026-05-31T07:43:00.000Z"
evt-002-01,inc-002,device_impact_detected,Moderate Impact Detected,"Accelerometer reading of 9.7g detected at Secunderabad Railway Station Platform 3","{""impact_magnitude"": 9.7, ""threshold"": 8.0}","2026-05-31T07:47:00.000Z"
evt-002-02,inc-002,incident_created,Incident Created,Moderate fall incident auto-created by RoadSoS system,"{""auto_created"": true, ""trigger"": ""impact_threshold""}","2026-05-31T07:47:05.000Z"
evt-002-03,inc-002,child_confirmed,Child Confirmed Emergency,Mohammed Zaid confirmed via device,"{""response_time_sec"": 22}","2026-05-31T07:47:27.000Z"
evt-002-04,inc-002,parent_notified,Parent Notified,Abdul Rahman notified via app,"{""channel"": ""push""}","2026-05-31T07:47:30.000Z"
evt-002-05,inc-002,ambulance_dispatched,Ambulance Dispatched,AMB-108-03 dispatched from Secunderabad station,"{""ambulance_id"": ""amb-003"", ""eta_min"": 4}","2026-05-31T07:48:00.000Z"
evt-002-06,inc-002,ambulance_arrived,Ambulance On Scene,AMB-108-03 arrived at platform,"{""response_time_min"": 5.2}","2026-05-31T07:52:00.000Z"
evt-002-07,inc-002,status_en_route,Ambulance En Route to Hospital,AMB-108-03 transporting to KIMS Secunderabad,"{""destination"": ""hosp-004""}","2026-05-31T07:53:00.000Z"
evt-002-08,inc-002,status_at_hospital,Arrived at Hospital,Mohammed Zaid arrived at KIMS Secunderabad ER,"{""hospital_id"": ""hosp-004""}","2026-05-31T08:00:00.000Z"
evt-003-01,inc-003,alert_triggered,Anaphylaxis Alert Triggered,Device sensors and parent-reported nut ingestion triggered anaphylaxis protocol,"{""trigger"": ""allergy_flag+tachycardia""}","2026-05-31T08:02:00.000Z"
evt-003-02,inc-003,incident_created,Incident Created,Critical allergic reaction incident created,"{""severity"": ""critical""}","2026-05-31T08:02:05.000Z"
evt-003-03,inc-003,child_confirmed,Child Confirmed,Diya Patel pressed YES,"{""response_time_sec"": 10}","2026-05-31T08:02:10.000Z"
