id,name,commissionerate,zone,district,latitude,longitude,address,phone,emergency_phone,sho_name,created_at
ps-001,Banjara Hills Police Station,Hyderabad City Police,Jubilee Hills Zone,Hyderabad,17.4198,78.444,"Road No. 3, Green Mosque Line, Banjara Hills, Hyderabad, Telangana 500034",+91-87126-61277,+91-87126-60450,Insp. K. Surrendhar,2025-01-01T00:00:00.000Z
ps-002,Jubilee Hills Police Station,Hyderabad City Police,Jubilee Hills Zone,Hyderabad,17.4178,78.4345,"Road No. 36, Beside Peddamma Temple Metro Station, Jubilee Hills, Hyderabad, Telangana 500033",+91-87126-61278,+91-87126-60460,Insp. G. Sandhya Reddy,2025-01-01T00:00:00.000Z
ps-003,Begumpet Police Station,Hyderabad City Police,Secunderabad Zone,Hyderabad,17.4432,78.4674,"Sardar Patel Main Road, Opp Splendid Towers, Begumpet, Secunderabad, Telangana 500016",+91-98487-78263,+91-40-27840100,Insp. B. Ramesh,2025-01-01T00:00:00.000Z
ps-004,Secunderabad Police Station (Ramgopalpet),Hyderabad City Police,Secunderabad Zone,Hyderabad,17.4468,78.5002,"MG Road (James Street), Secunderabad, Hyderabad, Telangana 500003",+91-98487-78294,+91-40-27840200,Insp. M. Venugopal,2025-01-01T00:00:00.000Z
ps-005,Nampally Police Station,Hyderabad City Police,Central Zone,Hyderabad,17.393,78.4551,"Back Side of Nampally Criminal Court, Nampally Railway Station, Hyderabad, Telangana 500001",+91-98487-78293,+91-40-24601300,Insp. K. Narasimha Rao,2025-01-01T00:00:00.000Z
ps-006,Afzalgunj Police Station,Hyderabad City Police,Central Zone,Hyderabad,17.3837,78.4734,"Beside Musi River, Osmania General Hospital Complex, Opp Afzalgunj Bus Terminal, Hyderabad, Telangana 500012",+91-98487-78298,+91-40-24600900,Insp. Md. Rafeeq,2025-01-01T00:00:00.000Z
ps-007,Charminar Police Station,Hyderabad City Police,Charminar Zone,Hyderabad,17.36,78.4741,"Charminar Road, Old City, Hyderabad, Telangana 500002",+91-98487-78303,+91-40-24521200,Insp. Syed Anwar,2025-01-01T00:00:00.000Z
ps-008,Mehdipatnam Police Station,Hyderabad City Police,Golconda Zone,Hyderabad,17.3955,78.4356,"Near Mehdipatnam Bus Stand, Mehdipatnam, Hyderabad, Telangana 500028",+91-98487-78320,+91-40-23006600,Insp. P. Ramakrishna,2025-01-01T00:00:00.000Z
ps-009,LB Nagar Police Station,Hyderabad City Police,LB Nagar Zone,Hyderabad,17.3451,78.551,"LB Nagar Circle, Saroor Nagar, LB Nagar, Hyderabad, Telangana 500074",+91-98487-78355,+91-40-24151100,Insp. T. Suresh Babu,2025-01-01T00:00:00.000Z
ps-010,Dilsukhnagar Police Station,Hyderabad City Police,LB Nagar Zone,Hyderabad,17.368,78.5265,"Dilsukhnagar Main Road, Near Dilsukhnagar Bus Stand, Hyderabad, Telangana 500060",+91-98487-78360,+91-40-24142200,Insp. G. Srinivas,2025-01-01T00:00:00.000Z
