"id","route_name","school_name","start_location_name","end_location_name","route_points","coverage_score","avg_response_time_min","avg_ambulance_distance_km","incident_count","total_children_on_route","gap_count","gaps","recommended_post_lat","recommended_post_lon","recommended_post_name","projected_response_time_min","is_high_risk","last_analyzed","created_at"
"ra-nacharam-a-001","Nacharam – Uppal – Ghatkesar Route","Delhi Public School Nacharam","Delhi Public School Nacharam, Nacharam, Hyderabad","Ghatkesar Bus Stand, Medchal-Malkajgiri","[{""lat"": 17.4211, ""lon"": 78.5325}, {""lat"": 17.4289, ""lon"": 78.5101}, {""lat"": 17.436, ""lon"": 78.528}, {""lat"": 17.44, ""lon"": 78.555}, {""lat"": 17.451, ""lon"": 78.59}]","72.4","9.2","3.8","2","48","2","[{""lat"": 17.436, ""lon"": 78.528, ""severity"": ""moderate"", ""distanceKm"": 4.1}, {""lat"": 17.451, ""lon"": 78.59, ""severity"": ""critical"", ""distanceKm"": 7.2}]","17.436","78.528","Uppal X Roads EMS Post (Near KIMS Uppal)","6","true","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-nacharam-b-001","Nacharam – Secunderabad – Trimulgherry Route","Delhi Public School Nacharam","Delhi Public School Nacharam, Nacharam, Hyderabad","Trimulgherry Cantonment, Secunderabad","[{""lat"": 17.4211, ""lon"": 78.5325}, {""lat"": 17.432, ""lon"": 78.51}, {""lat"": 17.4396, ""lon"": 78.4986}, {""lat"": 17.4441, ""lon"": 78.4986}, {""lat"": 17.451, ""lon"": 78.504}]","84.1","6.5","2.4","1","52","0","","","","","","false","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-begumpet-a-001","Begumpet – Ameerpet – Punjagutta Route","Oakridge International School Begumpet","Oakridge International School, Begumpet, Hyderabad","Punjagutta Circle, Hyderabad","[{""lat"": 17.4432, ""lon"": 78.4674}, {""lat"": 17.438, ""lon"": 78.442}, {""lat"": 17.4289, ""lon"": 78.4553}, {""lat"": 17.4214, ""lon"": 78.4628}]","91.5","5.8","1.9","0","44","0","","","","","","false","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-begumpet-b-001","Begumpet – Banjara Hills – Jubilee Hills Route","Oakridge International School Begumpet","Oakridge International School, Begumpet, Hyderabad","Jubilee Hills Check Post, Hyderabad","[{""lat"": 17.4432, ""lon"": 78.4674}, {""lat"": 17.4198, ""lon"": 78.444}, {""lat"": 17.4185, ""lon"": 78.4382}, {""lat"": 17.4178, ""lon"": 78.4345}]","88.0","6.1","2.2","0","44","0","","","","","","false","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-secunderabad-a-001","Secunderabad – Bowenpally – Alwal Route","St. Patrick High School Secunderabad","St. Patrick High School, MG Road, Secunderabad","Alwal Junction, Medchal-Malkajgiri","[{""lat"": 17.4441, ""lon"": 78.4986}, {""lat"": 17.468, ""lon"": 78.498}, {""lat"": 17.493, ""lon"": 78.501}, {""lat"": 17.518, ""lon"": 78.504}]","61.2","11.5","5.6","1","50","2","[{""lat"": 17.493, ""lon"": 78.501, ""severity"": ""critical"", ""distanceKm"": 6.3}, {""lat"": 17.518, ""lon"": 78.504, ""severity"": ""moderate"", ""distanceKm"": 4.8}]","17.493","78.501","Bowenpally Market EMS Post (NH-44 Bypass)","7","true","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-secunderabad-b-001","Secunderabad – Karkhana – Trimulgherry Route","St. Patrick High School Secunderabad","St. Patrick High School, MG Road, Secunderabad","Trimulgherry Gate, Secunderabad Cantonment","[{""lat"": 17.4441, ""lon"": 78.4986}, {""lat"": 17.455, ""lon"": 78.501}, {""lat"": 17.463, ""lon"": 78.508}, {""lat"": 17.472, ""lon"": 78.51}]","79.8","7.3","2.8","0","44","1","[{""lat"": 17.472, ""lon"": 78.51, ""severity"": ""moderate"", ""distanceKm"": 3.9}]","17.472","78.51","Trimulgherry Cantonment Gate EMS Outpost","5","false","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-kukatpally-a-001","Kukatpally – KPHB – Miyapur Route","Glendale Academy Hyderabad","Glendale Academy, KPHB Colony, Kukatpally","Miyapur Metro Station, Hyderabad","[{""lat"": 17.485, ""lon"": 78.3979}, {""lat"": 17.495, ""lon"": 78.385}, {""lat"": 17.507, ""lon"": 78.375}, {""lat"": 17.5135, ""lon"": 78.3621}]","65.7","10.4","4.9","0","48","2","[{""lat"": 17.507, ""lon"": 78.375, ""severity"": ""critical"", ""distanceKm"": 5.5}, {""lat"": 17.5135, ""lon"": 78.3621, ""severity"": ""moderate"", ""distanceKm"": 4.1}]","17.507","78.375","Miyapur Junction EMS Post (Outer Ring Road)","6","true","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-kukatpally-b-001","Kukatpally – Balanagar – SR Nagar Route","Glendale Academy Hyderabad","Glendale Academy, KPHB Colony, Kukatpally","SR Nagar Signal, Hyderabad","[{""lat"": 17.485, ""lon"": 78.3979}, {""lat"": 17.465, ""lon"": 78.405}, {""lat"": 17.45, ""lon"": 78.418}, {""lat"": 17.44, ""lon"": 78.425}]","77.3","8.0","3.1","0","44","1","[{""lat"": 17.45, ""lon"": 78.418, ""severity"": ""moderate"", ""distanceKm"": 3.8}]","17.45","78.418","Balanagar Industrial Area EMS Outpost (JNTU Road)","6","false","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-banjara-a-001","Banjara Hills – Jubilee Hills – Madhapur Route","Chirec International School","Chirec International School, Banjara Hills Road No. 10, Hyderabad","HITEC City Metro Station, Madhapur","[{""lat"": 17.4241, ""lon"": 78.42}, {""lat"": 17.4178, ""lon"": 78.4345}, {""lat"": 17.435, ""lon"": 78.41}, {""lat"": 17.4477, ""lon"": 78.3742}]","93.2","5.2","1.7","0","52","0","","","","","","false","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-banjara-b-001","Banjara Hills – Gachibowli – HITEC City Route","Chirec International School","Chirec International School, Banjara Hills Road No. 10, Hyderabad","Nanakramguda Financial District, Gachibowli","[{""lat"": 17.4241, ""lon"": 78.42}, {""lat"": 17.417, ""lon"": 78.405}, {""lat"": 17.4126, ""lon"": 78.375}, {""lat"": 17.4126, ""lon"": 78.3601}]","90.8","5.5","1.9","0","48","0","","","","","","false","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
